                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.338,                 1.0973,                 1.2137,                0.23597,                0.18688,                0.08825,                0.03479,                 2.5218,                 2.3921,                 1.7588,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.4133,                 1.1837,                 1.2684,                0.16648,                0.13445,                0.06365,                0.01968,                 2.6986,                 2.6265,                 1.9103,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3235,                 1.0891,                 1.2425,                0.13527,                0.21008,                0.08551,                0.02829,                 2.6304,                  2.475,                 1.8709,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3258,                 1.0837,                 1.2315,                0.09398,                0.05882,                0.02578,                0.00753,                 2.9863,                 3.3252,                 2.3902,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3234,                  1.099,                 1.2456,                0.08665,                0.10924,                0.03299,                0.01137,                 2.8858,                 2.8466,                  1.974,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.3475,                 1.0648,                 1.2147,                0.13442,                0.13445,                0.05272,                0.01609,                 2.6944,                 2.6847,                 1.8407,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.3447,                 1.0969,                 1.2267,                0.16763,                0.13445,                0.07464,                0.02689,                 2.4934,                  2.383,                 1.8454,               0.001406,               0.001406,               0.001406
                     62,                 1.3839,                  1.115,                 1.2488,                 0.1248,                0.16807,                0.08742,                0.03339,                  2.475,                 2.3902,                 1.6955,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.3269,                  1.076,                 1.2257,                0.27157,                0.16807,                0.11313,                0.04259,                 2.5056,                 2.2217,                 1.6766,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3284,                 1.0796,                 1.2451,                0.29687,                0.15126,                0.08826,                0.03073,                 2.6661,                 2.5433,                 1.7947,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.3317,                 1.0761,                 1.2255,                0.28036,                0.21849,                0.17082,                0.06709,                 2.3774,                 2.1031,                 1.5527,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3086,                 1.0539,                 1.2125,                0.27346,                0.18487,                0.13108,                0.04783,                 2.4871,                  2.328,                 1.6323,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3216,                 1.1056,                 1.2193,                0.20547,                0.16807,                0.09924,                0.03646,                 2.5369,                 2.2628,                 1.6688,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3423,                 1.0842,                 1.2268,                0.12743,                0.20168,                 0.0933,                0.03758,                 2.4764,                 2.3815,                 1.6445,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.2574,                 1.0152,                 1.2012,                0.21654,                0.16807,                 0.1089,                0.04914,                 2.3709,                 2.3132,                 1.6077,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.3244,                 1.0653,                 1.2156,                0.13085,                0.12605,                0.04696,                0.01754,                 2.5546,                 2.7545,                 1.8561,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.3216,                 1.0795,                 1.2143,                0.19189,                0.16807,                0.11292,                0.04565,                 2.4983,                 2.3591,                 1.8351,               0.001307,               0.001307,               0.001307
